0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
4,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,4
4,2,0,2,0,0,0,0,4,0,0,0,2,0,0,0,4
0,0,0,2,0,0,0,0,8,0,0,0,2,2,0,2,12
2,0,0,0,0,0,0,0,8,0,0,0,2,2,0,4,16
2,0,0,0,0,0,0,0,8,0,2,0,4,4,0,0,20
2,4,2,2,8,0,0,0,4,0,0,0,0,0,0,0,20
2,4,4,0,8,0,0,0,4,0,2,0,0,0,0,0,24
0,0,0,2,2,0,0,0,8,0,4,0,4,4,2,0,24
0,0,0,2,0,0,0,2,0,4,8,4,0,0,8,2,32
0,0,0,0,2,0,0,4,0,0,0,4,0,4,16,2,52
0,2,0,0,2,4,0,0,4,0,0,0,4,16,2,0,52
2,2,2,0,8,4,0,0,0,16,0,0,2,0,0,0,60
0,0,2,4,0,0,8,4,0,0,4,16,0,0,0,2,64
2,4,0,0,8,4,0,0,4,16,0,0,2,2,0,0,64
2,8,0,0,8,16,0,0,4,2,0,2,2,0,0,0,72
2,8,0,2,8,16,0,0,4,2,0,0,2,0,0,2,72
2,0,0,0,8,8,0,2,4,16,0,0,2,2,0,4,76
2,8,0,2,8,16,2,4,4,2,0,0,2,0,0,0,76
0,2,8,2,8,16,2,4,0,2,4,2,0,0,0,2,76
8,2,8,2,0,16,2,4,0,2,4,4,4,0,0,0,80
8,2,8,2,4,16,2,8,0,2,4,2,0,0,0,0,88
8,2,8,2,4,16,2,8,0,2,4,2,0,0,0,0,88
8,2,8,2,4,16,2,8,0,2,4,2,0,0,0,0,88
8,2,8,2,4,16,2,8,0,2,4,2,0,0,0,0,88
8,2,8,2,4,16,2,8,0,2,4,2,0,0,0,0,88
8,2,8,2,4,16,2,8,0,2,4,2,0,0,0,0,88
8,2,8,2,4,16,2,8,0,2,4,2,0,0,0,0,88
8,2,8,2,4,16,2,8,0,2,4,2,0,0,0,0,88
8,2,8,2,4,16,2,8,0,2,4,2,0,0,0,0,88
8,2,8,2,4,16,2,8,2,4,2,0,0,0,2,0,88
8,2,8,2,4,16,2,8,2,4,2,0,2,2,0,0,88
8,2,8,2,4,16,2,8,0,2,4,2,0,2,0,4,92
8,2,8,2,4,16,2,8,2,4,2,0,2,4,2,0,92
8,2,8,2,4,16,2,8,2,2,4,2,0,2,4,2,92
8,2,8,2,4,16,2,8,4,4,2,0,2,4,2,4,96
2,0,0,0,8,2,8,2,8,16,2,8,2,8,4,4,116
2,2,0,0,8,2,8,2,8,16,2,8,2,8,8,0,124
2,4,8,2,16,16,2,8,2,8,8,0,2,0,0,0,144
2,4,8,2,32,2,8,0,2,16,0,2,2,0,0,0,192
2,4,8,2,0,32,2,8,4,2,16,2,0,0,0,2,192
2,4,8,2,0,32,2,8,4,2,16,2,0,0,0,2,192
2,4,8,2,4,32,2,8,2,2,16,4,0,0,0,0,196
0,0,2,0,2,4,8,2,4,32,2,8,2,2,16,4,196
0,0,2,0,2,4,8,2,4,32,2,8,2,2,16,4,196
2,0,0,2,2,4,8,2,4,32,2,8,4,16,4,0,200
4,4,8,4,8,32,2,8,0,16,4,0,0,0,2,0,216
8,8,4,0,8,32,2,8,16,4,0,2,2,0,0,0,224
16,4,0,0,8,32,2,8,16,4,2,0,2,0,0,4,240
0,2,16,4,8,32,2,8,0,16,4,2,0,0,2,4,240
2,16,4,2,8,32,2,8,16,4,2,0,2,4,0,0,240
2,16,4,2,8,32,4,8,16,8,0,0,2,0,0,2,252
2,0,0,0,8,16,0,2,16,32,2,8,2,8,8,2,260
0,0,2,2,0,8,16,2,16,32,2,8,0,2,16,2,276
16,8,2,4,2,32,16,8,0,2,2,2,0,0,16,0,280
16,8,2,4,2,32,16,8,4,2,0,0,16,0,4,0,284
16,8,2,4,2,32,16,8,4,2,4,2,16,0,0,0,284
16,8,2,4,2,32,16,8,4,2,4,2,2,0,0,16,284
16,2,0,4,2,8,2,8,4,32,16,2,2,2,4,16,284
2,16,2,4,2,8,2,8,4,32,16,2,0,4,4,16,288
2,16,2,4,2,8,2,8,4,32,16,2,0,2,8,16,296
4,16,4,4,4,8,16,8,0,32,8,2,2,2,0,16,304
0,4,16,8,4,8,16,8,4,32,8,2,0,0,4,16,316
0,4,16,8,4,8,16,8,4,32,8,2,0,0,4,16,316
4,16,8,2,4,8,16,8,4,32,8,2,4,16,0,0,316
4,16,8,2,4,8,16,8,4,32,8,2,4,16,0,0,316
0,16,2,0,0,8,8,2,8,32,16,8,8,16,8,2,332
2,0,16,2,0,0,16,2,8,32,16,8,8,16,8,2,348
2,32,32,4,16,16,16,8,0,0,8,2,0,0,2,0,400
0,0,32,0,0,2,16,4,2,32,8,8,16,16,2,2,400
32,0,0,0,2,16,4,0,2,32,16,0,32,4,0,2,452
0,0,0,32,0,2,16,4,0,2,32,16,2,32,4,2,452
0,0,0,32,0,2,16,4,0,2,32,16,2,32,4,2,452
0,0,0,32,0,2,16,4,0,2,32,16,2,32,4,2,452
0,0,0,32,2,0,16,4,0,4,32,16,2,32,4,2,456
0,0,2,32,0,0,16,4,0,4,32,16,4,32,4,2,460
0,0,2,32,0,0,16,4,0,4,32,16,4,32,4,2,460
2,32,2,0,16,4,0,0,4,32,16,0,4,32,4,2,460
0,2,32,2,2,0,16,4,0,4,32,16,4,32,4,2,460
2,2,32,2,4,4,16,4,0,32,32,16,2,0,4,2,460
0,4,32,2,0,8,16,4,2,0,64,16,0,2,4,2,536
4,32,2,2,8,16,4,0,2,64,16,0,2,4,2,0,536
0,4,32,4,2,8,16,4,0,2,64,16,0,2,4,2,540
2,4,32,8,0,8,16,16,2,4,64,2,0,0,4,0,552
2,4,32,8,0,0,8,32,2,4,64,2,0,0,2,4,584
2,4,32,8,8,32,2,0,2,4,64,2,2,4,0,0,584
2,4,32,8,0,8,32,2,2,4,64,2,0,2,2,4,584
4,4,64,8,0,8,64,4,0,4,2,4,0,2,0,2,656
0,4,0,0,0,8,0,8,2,4,128,8,4,2,2,2,792
2,4,128,16,4,8,2,2,0,4,2,0,0,2,0,0,808
2,4,128,16,4,8,4,2,4,2,0,0,2,0,0,0,812
2,4,128,16,4,8,4,2,0,0,4,2,0,2,0,2,812
0,0,0,2,0,4,0,16,2,8,128,2,4,2,8,4,824
2,0,0,2,0,0,4,16,2,8,128,2,4,2,8,4,824
4,2,0,0,4,16,0,0,2,8,128,2,4,2,8,4,828
0,2,0,0,8,16,0,2,2,8,128,2,4,2,8,4,836
