0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,probas
0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1e-05
4,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,-0.0009880139720558883
0,0,0,4,0,0,0,0,0,0,0,4,0,2,0,2,-0.0019860279441117766
0,2,0,8,0,0,0,2,0,0,2,0,0,0,0,0,-0.002984041916167665
2,8,0,0,2,0,0,2,2,0,0,0,0,0,0,0,-0.003982055888223554
4,8,0,2,2,0,0,2,0,0,0,0,0,0,0,0,-0.004980069860279442
0,0,0,0,0,0,0,2,4,0,0,0,2,8,0,4,-0.00597808383233533
0,0,0,0,2,0,0,0,4,0,0,2,2,8,0,4,-0.006976097804391219
2,8,0,2,4,0,0,4,2,0,0,0,0,0,0,2,-0.007974111776447107
2,8,2,0,8,0,0,0,2,0,0,0,2,2,0,0,-0.008972125748502995
0,2,8,2,0,0,0,8,0,0,0,2,2,0,0,4,-0.009970139720558883
2,2,8,2,0,2,0,8,0,0,0,2,0,0,0,4,-0.010968153692614772
4,8,2,0,2,8,4,0,2,0,0,0,4,0,0,0,-0.01196616766467066
4,16,2,0,4,0,4,0,4,2,0,0,0,0,0,0,-0.012964181636726548
4,16,2,0,8,0,0,0,4,2,0,0,0,0,2,0,-0.013962195608782438
4,16,2,0,8,0,0,0,4,2,2,0,2,0,0,0,-0.014960209580838326
0,4,16,2,0,0,2,8,0,0,4,4,0,0,0,2,-0.015958223552894214
0,4,16,2,0,0,2,8,0,0,2,8,0,0,0,2,-0.016956237524950103
0,4,16,2,0,0,4,16,0,0,0,2,0,0,0,2,-0.01795425149700599
4,16,2,0,4,16,0,0,2,0,2,0,2,0,0,0,-0.01895226546906188
8,32,4,0,4,0,0,0,0,0,0,0,0,2,0,0,-0.019950279441117765
0,8,32,4,0,0,0,4,0,0,0,0,0,0,2,2,-0.020948293413173655
0,8,32,8,0,0,2,2,0,0,0,0,0,0,0,2,-0.021946307385229544
0,8,32,8,2,0,0,4,0,0,0,0,0,0,0,2,-0.02294432135728543
0,0,0,0,0,0,0,8,0,0,2,4,2,8,32,2,-0.02394233532934132
0,2,0,0,8,0,0,0,2,4,0,0,2,8,32,2,-0.02494034930139721
0,0,0,0,0,2,0,2,8,4,0,0,4,8,32,2,-0.025938363273453096
0,2,0,0,0,0,0,4,0,0,8,4,4,8,32,2,-0.026936377245508986
0,0,0,0,0,0,2,0,0,2,8,8,4,8,32,2,-0.027934391217564875
4,2,2,8,2,8,8,2,0,0,32,0,0,0,0,0,-0.02893240518962076
4,4,8,0,2,16,2,0,32,0,2,0,0,0,0,0,-0.02993041916167665
8,8,0,0,2,16,2,0,32,2,0,0,0,0,2,0,-0.030928433133732537
16,0,0,0,2,16,2,0,32,2,0,0,2,0,2,0,-0.03192644710578842
0,0,0,16,2,2,16,2,0,0,32,2,0,0,0,4,-0.03292446107784431
16,0,0,2,4,16,2,0,32,2,0,0,4,0,0,0,-0.0339224750499002
16,0,0,2,4,0,0,0,32,16,0,0,4,2,2,2,-0.03492048902195609
16,2,0,0,4,0,0,0,32,16,0,2,4,4,2,0,-0.035918502994011975
0,0,16,2,0,2,0,4,0,32,16,2,0,0,8,2,-0.03691651696606787
0,0,16,2,0,0,2,4,0,32,16,2,2,0,8,2,-0.037914530938123754
0,0,16,0,2,0,2,2,0,0,16,4,2,32,8,4,-0.03891254491017964
4,32,16,2,0,0,2,8,0,0,16,0,0,2,8,0,-0.039910558882235526
0,0,16,2,0,0,2,0,0,32,16,2,4,2,8,8,-0.04090857285429142
0,0,16,2,4,0,0,2,0,32,16,2,0,4,2,16,-0.041906586826347306
4,32,32,4,2,4,2,2,0,0,0,16,0,0,0,0,-0.04290460079840319
0,0,0,0,2,0,0,4,4,32,32,2,2,4,2,16,-0.043902614770459085
2,32,32,4,4,4,2,2,2,2,0,16,0,0,0,0,-0.04490062874251497
2,32,32,4,4,4,2,2,2,2,0,16,0,0,0,0,-0.04589864271457086
0,2,64,4,0,0,8,4,0,0,4,16,0,2,0,0,-0.04689665668662675
2,4,64,8,0,0,8,16,0,0,4,0,0,0,0,0,-0.047894670658682637
2,4,64,8,8,16,0,0,4,0,0,0,0,0,0,2,-0.04889268463073852
2,4,64,8,0,0,8,16,0,2,0,4,0,0,0,2,-0.049890698602794416
